case_id,archetype,note,hard_pass,override_reason,hard_Engineering_Review_expected,hard_Standard_Commercial_Action_expected,hard_Reverse_Engineer_expected,soft_Reverse_Engineer_expected,soft_Reverse_Engineer_matched,soft_Digitize_expected,soft_Digitize_matched,hard_IP_Legal_Review_expected,soft_Engineering_Review_expected,soft_Engineering_Review_matched,soft_AM_Candidate_expected,soft_AM_Candidate_matched,soft_Keep_Physical_expected,soft_Keep_Physical_matched,soft_Reduce_Stock_expected,soft_Reduce_Stock_matched,soft_Increase_Safety_Stock_expected,soft_Increase_Safety_Stock_matched
0,cheap_safety_critical,low_data=True,True,safety_gate(safety_critical+low_completeness); missing_data_gate(completeness<0.50); ,1.0,,,,,,,,,,,,,,,,,
1,cheap_safety_critical,low_data=False,True,,,,,,,,,,,,,,,,,,,
2,cheap_safety_critical,low_data=True,True,safety_gate(safety_critical+low_completeness); missing_data_gate(completeness<0.50); ,1.0,,,,,,,,,,,,,,,,,
3,cheap_safety_critical,low_data=False,True,,,,,,,,,,,,,,,,,,,
4,cheap_safety_critical,low_data=True,True,safety_gate(safety_critical+low_completeness); missing_data_gate(completeness<0.50); ,1.0,,,,,,,,,,,,,,,,,
5,cheap_safety_critical,low_data=False,True,,,,,,,,,,,,,,,,,,,
6,cheap_safety_critical,low_data=True,True,safety_gate(safety_critical+low_completeness); missing_data_gate(completeness<0.50); ,1.0,,,,,,,,,,,,,,,,,
7,cheap_safety_critical,low_data=False,True,,,,,,,,,,,,,,,,,,,
8,standard_bearing_many_suppliers,,True,missing_data_gate(completeness<0.50); ,,1.0,0.0,,,,,,,,,,,,,,,
9,standard_bearing_many_suppliers,,True,missing_data_gate(completeness<0.50); ,,1.0,0.0,,,,,,,,,,,,,,,
10,standard_bearing_many_suppliers,,True,,,1.0,0.0,,,,,,,,,,,,,,,
11,standard_bearing_many_suppliers,,True,missing_data_gate(completeness<0.50); ,,1.0,0.0,,,,,,,,,,,,,,,
12,standard_bearing_many_suppliers,,True,missing_data_gate(completeness<0.50); ,,1.0,0.0,,,,,,,,,,,,,,,
13,standard_bearing_many_suppliers,,True,missing_data_gate(completeness<0.50); ,,1.0,0.0,,,,,,,,,,,,,,,
14,standard_bearing_many_suppliers,,True,,,1.0,0.0,,,,,,,,,,,,,,,
15,standard_bearing_many_suppliers,,True,missing_data_gate(completeness<0.50); ,,1.0,0.0,,,,,,,,,,,,,,,
16,obsolete_custom_no_drawings,,True,missing_data_gate(completeness<0.50); ,,,,1.0,True,1.0,True,,,,,,,,,,,
17,obsolete_custom_no_drawings,,True,,,,,1.0,True,1.0,False,,,,,,,,,,,
18,obsolete_custom_no_drawings,,True,missing_data_gate(completeness<0.50); novel_component_ood; ,,,,1.0,True,1.0,False,,,,,,,,,,,
19,obsolete_custom_no_drawings,,True,,,,,1.0,True,1.0,False,,,,,,,,,,,
20,obsolete_custom_no_drawings,,True,missing_data_gate(completeness<0.50); ,,,,1.0,True,1.0,True,,,,,,,,,,,
21,obsolete_custom_no_drawings,,True,missing_data_gate(completeness<0.50); ,,,,1.0,True,1.0,False,,,,,,,,,,,
22,obsolete_custom_no_drawings,,True,missing_data_gate(completeness<0.50); ,,,,1.0,True,1.0,False,,,,,,,,,,,
23,obsolete_custom_no_drawings,,True,missing_data_gate(completeness<0.50); ,,,,1.0,True,1.0,True,,,,,,,,,,,
24,high_value_ip_restricted,,True,,,,,,,,,1.0,,,,,,,,,,
25,high_value_ip_restricted,,True,,,,,,,,,1.0,,,,,,,,,,
26,high_value_ip_restricted,,True,,,,,,,,,1.0,,,,,,,,,,
27,high_value_ip_restricted,,True,novel_component_ood; ,,,,,,,,1.0,,,,,,,,,,
28,high_value_ip_restricted,,True,missing_data_gate(completeness<0.50); ,,,,,,,,1.0,,,,,,,,,,
29,high_value_ip_restricted,,True,,,,,,,,,1.0,,,,,,,,,,
30,high_value_ip_restricted,,True,,,,,,,,,1.0,,,,,,,,,,
31,high_value_ip_restricted,,True,,,,,,,,,1.0,,,,,,,,,,
32,long_lead_excellent_data,,True,,,,,,,1.0,True,,0.0,True,,,,,,,,
33,long_lead_excellent_data,,True,,,,,,,1.0,True,,0.0,True,,,,,,,,
34,long_lead_excellent_data,,True,,,,,,,1.0,False,,0.0,True,,,,,,,,
35,long_lead_excellent_data,,True,,,,,,,1.0,True,,0.0,True,,,,,,,,
36,long_lead_excellent_data,,True,,,,,,,1.0,True,,0.0,True,,,,,,,,
37,long_lead_excellent_data,,True,,,,,,,1.0,True,,0.0,True,,,,,,,,
38,long_lead_excellent_data,,True,,,,,,,1.0,True,,0.0,True,,,,,,,,
39,long_lead_excellent_data,,True,,,,,,,1.0,False,,0.0,True,,,,,,,,
40,additive_friendly_unknown_material,completeness=0.50,True,,,,,,,,,,,,1.0,False,,,,,,
41,additive_friendly_unknown_material,completeness=0.25,True,missing_data_gate(completeness<0.50); ,,,,,,,,,,,1.0,False,,,,,,
42,additive_friendly_unknown_material,completeness=0.25,True,missing_data_gate(completeness<0.50); ,,,,,,,,,,,1.0,False,,,,,,
43,additive_friendly_unknown_material,completeness=0.50,True,,,,,,,,,,,,1.0,True,,,,,,
44,additive_friendly_unknown_material,completeness=0.75,True,,,,,,,,,,,,1.0,True,,,,,,
45,additive_friendly_unknown_material,completeness=0.25,True,missing_data_gate(completeness<0.50); ,,,,,,,,,,,1.0,False,,,,,,
46,additive_friendly_unknown_material,completeness=0.50,True,,,,,,,,,,,,1.0,False,,,,,,
47,additive_friendly_unknown_material,completeness=0.75,True,,,,,,,,,,,,1.0,True,,,,,,
48,expensive_high_consumption,,True,missing_data_gate(completeness<0.50); novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
49,expensive_high_consumption,,True,missing_data_gate(completeness<0.50); novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
50,expensive_high_consumption,,True,novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
51,expensive_high_consumption,,True,missing_data_gate(completeness<0.50); novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
52,expensive_high_consumption,,True,missing_data_gate(completeness<0.50); novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
53,expensive_high_consumption,,True,novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
54,expensive_high_consumption,,True,novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
55,expensive_high_consumption,,True,novel_component_ood; ,,,,,,,,,,,,,1.0,False,0.0,True,,
56,single_source_high_downtime,,True,,,,,,,,,,,,,,,,,,1.0,False
57,single_source_high_downtime,,True,,,,,,,,,,,,,,,,,,1.0,False
58,single_source_high_downtime,,True,,,,,,,,,,,,,,,,,,1.0,False
59,single_source_high_downtime,,True,,,,,,,,,,,,,,,,,,1.0,True
60,single_source_high_downtime,,True,,,,,,,,,,,,,,,,,,1.0,False
61,single_source_high_downtime,,True,novel_component_ood; ,,,,,,,,,,,,,,,,,1.0,False
62,single_source_high_downtime,,True,,,,,,,,,,,,,,,,,,1.0,True
63,single_source_high_downtime,,True,,,,,,,,,,,,,,,,,,1.0,False
